individual_ID,treatment,fin_ray,sl,csa,csa_standardized
Pelagic_4_R3_s1-3,Pelagic,3,9.198034,378.8070175,41.18347655
Pelagic_5_R3_s1-3,Pelagic,3,8.082082,263.2894737,32.5769367
Pelagic_6_R3_s1-3,Pelagic,3,6.24155,336.4883721,53.91102724
Pelagic_9_R3_s1-3,Pelagic,3,7.291067,244.9433962,33.59500005
Pelagic_11_R3_s1-3,Pelagic,3,7.665179,275.6509434,35.96144896
Rock_1_R3_s1-3,Rock,3,6.060049,250.0013197,41.25400961
Rock_2_R3_s1-3,Rock,3,7.967771,258.5048544,32.44381075
Rock_3_R3_s1-3,Rock,3,8.300764,316.5546218,38.13560075
Rock_4_R3_s1-3,Rock,3,5.132831,305.9015152,59.59703626
Rock_12_R3_s1-3,Rock,3,7.967771,355.0555556,44.56146589
Sand_9_R3_s1-3,Sand,3,6.148437,271.66,44.18358682
Sand_13_R3_s1-3,Sand,3,6.238113,314.7113402,50.44976585
Sand_18_R3_s1-3,Sand,3,7.941265,208.6347826,26.27223529
Sand_17_R3_s1-3,Sand,3,5.242546,249.4081633,47.57386264
Sand_16_R3_s1-3,Sand,3,5.086051,260.2692308,51.17314608
11_S.Daemon Fin_SandTr,Sand,3,5.949723,287.172043,48.26645593
4_S.Daemon Fin_SandTr,Sand,3,7.007959,357.5050505,51.01414699
3_S.Daemon Fin_SandTr,Sand,3,6.860858,276.9767442,40.37056942
1_S.Jurupari Fin_RockTr,Rock,3,2.120653,386.0754717,182.0549952
1_S.Daemon Fin_PelagicTr,Pelagic,3,5.809859,290.1538462,49.94163304
9_S.Daemon Fin_RockTr,Rock,3,5.692222,236.4299065,41.53560885
7_S.Daemon Fin_RockTr,Rock,3,6.150801,225.3243243,36.63333024
13_S.Daemon Fin_PelagicTr,Pelagic,3,5.996074,263.0792079,43.87524368
10_S.Daemon Fin_PelagicTr,Pelagic,3,4.993571,209.8495575,42.02394589
8_S.Daemon Fin_PelagicTr,Pelagic,3,8.018233,326.96,40.77706397
15_S.Daemon Fin_SandTr,Sand,3,5.757827,266.0294118,46.20309221
2_S.Daemon Fin_PelagicTr,Pelagic,3,6.863481,261.5925926,38.11369079