Individual ID,Genus,Species,Treatment,SL,side,Ray3BrachP,Ray4BrachP,Ray5BrachP
S_daemon_1_Pelagic,Satanoperca,daemon,Pelagic,5.809859,left,y,y,y
S_daemon_10_Pelagic,Satanoperca,daemon,Pelagic,4.993571,left,n,y,y
S_daemon_11_Pelagic,Satanoperca,daemon,Pelagic,7.665179,left,y,y,y
S_daemon_13_Pelagic,Satanoperca,daemon,Pelagic,5.996074,left,y,y,y
S_daemon_14_Pelagic,Satanoperca,daemon,Pelagic,5.200584,left,y,y,y
S_daemon_2_Pelagic,Satanoperca,daemon,Pelagic,6.863481,left,y,y,y
S_daemon_4_Pelagic,Satanoperca,daemon,Pelagic,9.198034,left,y,y,y
S_daemon_5_Pelagic,Satanoperca,daemon,Pelagic,8.082082,left,y,y,y
S_daemon_6_Pelagic,Satanoperca,daemon,Pelagic,6.24155,left,y,y,y
S_daemon_8_Pelagic,Satanoperca,daemon,Pelagic,8.018233,left,y,y,y
S_daemon_9_Pelagic,Satanoperca,daemon,Pelagic,7.291067,left,y,y,y
S_daemon_1_Rock,Satanoperca,daemon,Rock,6.060049,left,n,y,y
S_daemon_11_Rock,Satanoperca,daemon,Rock,7.366564,left,n,n,y
S_daemon_2_Rock,Satanoperca,daemon,Rock,7.967771,left,y,y,y
S_daemon_3_Rock,Satanoperca,daemon,Rock,8.300764,left,n,y,y
S_daemon_4_Rock,Satanoperca,daemon,Rock,5.132831,left,n,n,y
S_daemon_6_Rock,Satanoperca,daemon,Rock,7.571554,left,n,n,n
S_daemon_7_Rock,Satanoperca,daemon,Rock,6.150801,left,y,y,y
S_daemon_8_Rock,Satanoperca,daemon,Rock,6.834803,left,n,n,n
S_daemon_9_Rock,Satanoperca,daemon,Rock,5.692222,left,y,y,y
S_daemon_10_Sand,Satanoperca,daemon,Sand,4.896119,left,n,y,y
S_daemon_11_Sand,Satanoperca,daemon,Sand,5.949723,left,n,n,y
S_daemon_12_Sand,Satanoperca,daemon,Sand,5.628406,left,y,y,y
S_daemon_13_Sand,Satanoperca,daemon,Sand,6.238113,left,y,y,y
S_daemon_14_Sand,Satanoperca,daemon,Sand,5.808999,left,y,y,y
S_daemon_15_Sand,Satanoperca,daemon,Sand,5.757827,left,y,y,y
S_daemon_16_Sand,Satanoperca,daemon,Sand,5.086051,left,y,y,y
S_daemon_17_Sand,Satanoperca,daemon,Sand,5.242546,left,y,y,y
S_daemon_2_Sand,Satanoperca,daemon,Sand,7.916521,left,n,y,y
S_daemon_3_Sand,Satanoperca,daemon,Sand,6.860858,left,n,y,y
S_daemon_4_Sand,Satanoperca,daemon,Sand,7.007959,left,y,y,y
S_daemon_7_Sand,Satanoperca,daemon,Sand,6.163873,left,y,y,y
S_daemon_8_Sand,Satanoperca,daemon,Sand,7.941265,left,y,y,y
S_daemon_9_Sand,Satanoperca,daemon,Sand,6.148437,left,y,y,y
S_daemon_wild_1,Satanoperca,daemon,Wild,4.572,left,y,y,y
S_daemon_wild_2,Satanoperca,daemon,Wild,10.79,left,y,y,y
S_daemon_wild_3,Satanoperca,daemon,Wild,10.922,left,y,y,y
S_daemon_wild_4,Satanoperca,daemon,Wild,8.128,left,y,y,y
S_daemon_wild_5,Satanoperca,daemon,Wild,8.89,left,y,y,y
S_daemon_wild_6,Satanoperca,daemon,Wild,4.445,left,y,y,y
S_daemon_wild_7,Satanoperca,daemon,Wild,13.335,left,y,y,y
S_daemon_wild_8,Satanoperca,daemon,Wild,9.9906,left,y,y,y
S_daemon_1_Pelagic,Satanoperca,daemon,Pelagic,5.809859,right,y,n,y
S_daemon_10_Pelagic,Satanoperca,daemon,Pelagic,4.993571,right,n,n,y
S_daemon_11_Pelagic,Satanoperca,daemon,Pelagic,7.665179,right,y,y,y
S_daemon_13_Pelagic,Satanoperca,daemon,Pelagic,5.996074,right,y,y,y
S_daemon_14_Pelagic,Satanoperca,daemon,Pelagic,5.200584,right,y,y,y
S_daemon_2_Pelagic,Satanoperca,daemon,Pelagic,6.863481,right,y,y,y
S_daemon_4_Pelagic,Satanoperca,daemon,Pelagic,9.198034,right,y,y,y
S_daemon_5_Pelagic,Satanoperca,daemon,Pelagic,8.082082,right,n,n,y
S_daemon_6_Pelagic,Satanoperca,daemon,Pelagic,6.24155,right,y,y,y
S_daemon_8_Pelagic,Satanoperca,daemon,Pelagic,8.018233,right,y,y,y
S_daemon_9_Pelagic,Satanoperca,daemon,Pelagic,7.291067,right,y,y,y
S_daemon_1_Rock,Satanoperca,daemon,Rock,6.060049,right,y,y,y
S_daemon_11_Rock,Satanoperca,daemon,Rock,7.967771,right,y,y,y
S_daemon_4_Rock,Satanoperca,daemon,Rock,5.132831,right,n,y,y
S_daemon_6_Rock,Satanoperca,daemon,Rock,7.571554,right,y,y,y
S_daemon_7_Rock,Satanoperca,daemon,Rock,6.150801,right,n,y,y
S_daemon_8_Rock,Satanoperca,daemon,Rock,6.834803,right,n,n,y
S_daemon_9_Rock,Satanoperca,daemon,Rock,5.692222,right,n,n,y
S_daemon_10_Sand,Satanoperca,daemon,Sand,4.896119,right,n,y,y
S_daemon_11_Sand,Satanoperca,daemon,Sand,5.949723,right,n,y,y
S_daemon_12_Sand,Satanoperca,daemon,Sand,5.628406,right,y,y,y
S_daemon_13_Sand,Satanoperca,daemon,Sand,6.238113,right,y,y,y
S_daemon_14_Sand,Satanoperca,daemon,Sand,5.808999,right,y,y,y
S_daemon_15_Sand,Satanoperca,daemon,Sand,5.757827,right,y,y,y
S_daemon_16_Sand,Satanoperca,daemon,Sand,5.086051,right,n,y,y
S_daemon_17_Sand,Satanoperca,daemon,Sand,5.242546,right,y,y,y
S_daemon_2_Sand,Satanoperca,daemon,Sand,7.916521,right,y,n,y
S_daemon_3_Sand,Satanoperca,daemon,Sand,6.860858,right,n,y,y
S_daemon_4_Sand,Satanoperca,daemon,Sand,7.007959,right,y,y,y
S_daemon_8_Sand,Satanoperca,daemon,Sand,7.941265,right,y,y,y
S_daemon_9_Sand,Satanoperca,daemon,Sand,6.148437,right,y,y,y
S_daemon_wild_1,Satanoperca,daemon,Wild,4.572,right,n,y,y
S_daemon_wild_2,Satanoperca,daemon,Wild,10.79,right,y,y,y
S_daemon_wild_3,Satanoperca,daemon,Wild,10.922,right,y,y,y
S_daemon_wild_4,Satanoperca,daemon,Wild,8.128,right,y,y,y
S_daemon_wild_5,Satanoperca,daemon,Wild,8.89,right,y,y,y
S_daemon_wild_6,Satanoperca,daemon,Wild,4.445,right,y,y,y
S_daemon_wild_7,Satanoperca,daemon,Wild,13.335,right,y,y,y
S_daemon_wild_8,Satanoperca,daemon,Wild,9.9906,right,y,y,y