Variable,Group1,Group2,Observed_Var_Ratio,P_value_two_sided
Radial_1_Length,Rock,Pelagic,6.196976067,0.0488
Radial_1_Length,Rock,Sand,9.786526918,0.0108
Radial_1_Length,Sand,Pelagic,0.633215043,1
Radial_2_Length,Rock,Pelagic,3.753345197,0.0866
Radial_2_Length,Rock,Sand,3.441725432,0.102
Radial_2_Length,Sand,Pelagic,1.090541727,0.9046
Radial_3_Length,Rock,Pelagic,5.081507684,0.0806
Radial_3_Length,Rock,Sand,4.168730907,0.0772
Radial_3_Length,Sand,Pelagic,1.218957951,0.8544
Radial_4_Length,Rock,Pelagic,4.385391468,0.1384
Radial_4_Length,Rock,Sand,4.165093449,0.1428
Radial_4_Length,Sand,Pelagic,1.052891495,0.937
Radial_1_Width,Rock,Pelagic,3.032601284,0.4062
Radial_1_Width,Rock,Sand,1.711339848,0.571
Radial_1_Width,Sand,Pelagic,1.772062567,0.646
Radial_2_Width,Rock,Pelagic,1.022263416,0.969
Radial_2_Width,Rock,Sand,1.658294468,0.6604
Radial_2_Width,Sand,Pelagic,0.616454698,1
Radial_3_Width,Rock,Pelagic,2.272516782,0.3244
Radial_3_Width,Rock,Sand,2.572585031,0.2384
Radial_3_Width,Sand,Pelagic,0.883359249,1
Radial_4_Width,Rock,Pelagic,1.570330093,0.511
Radial_4_Width,Rock,Sand,1.81452967,0.4008
Radial_4_Width,Sand,Pelagic,0.865419904,1
Marginal_Ray_3_Measurement_1,Rock,Pelagic,1.505125548,0.4946
Marginal_Ray_3_Measurement_1,Rock,Sand,1.247468779,0.69
Marginal_Ray_3_Measurement_1,Sand,Pelagic,1.206543661,0.7334
Marginal_Ray_3_Measurement_2,Rock,Pelagic,1.466991779,0.56
Marginal_Ray_3_Measurement_2,Rock,Sand,1.26840216,0.6696
Marginal_Ray_3_Measurement_2,Sand,Pelagic,1.156566761,0.8138
Marginal_Ray_3_Measurement_3,Rock,Pelagic,1.434996267,0.5708
Marginal_Ray_3_Measurement_3,Rock,Sand,1.357597603,0.5994
Marginal_Ray_3_Measurement_3,Sand,Pelagic,1.057011492,0.9442
Marginal_Ray_3_Measurement_4,Rock,Pelagic,1.253072254,0.6892
Marginal_Ray_3_Measurement_4,Rock,Sand,1.295590759,0.6952
Marginal_Ray_3_Measurement_4,Sand,Pelagic,0.967182149,1
Marginal_Ray_4_Measurement_1,Rock,Pelagic,2.959324273,0.1294
Marginal_Ray_4_Measurement_1,Rock,Sand,2.745408908,0.1938
Marginal_Ray_4_Measurement_1,Sand,Pelagic,1.077917488,0.9124
Marginal_Ray_4_Measurement_2,Rock,Pelagic,2.37280377,0.1762
Marginal_Ray_4_Measurement_2,Rock,Sand,3.042797101,0.1878
Marginal_Ray_4_Measurement_2,Sand,Pelagic,0.779810054,1
Marginal_Ray_4_Measurement_3,Rock,Pelagic,2.24643215,0.201
Marginal_Ray_4_Measurement_3,Rock,Sand,2.931221774,0.2076
Marginal_Ray_4_Measurement_3,Sand,Pelagic,0.766380821,1
Marginal_Ray_4_Measurement_4,Rock,Pelagic,2.021565315,0.2874
Marginal_Ray_4_Measurement_4,Rock,Sand,2.904315216,0.2024
Marginal_Ray_4_Measurement_4,Sand,Pelagic,0.696055753,1
Marginal_Ray_5_Measurement_1,Rock,Pelagic,2.891079257,0.0442
Marginal_Ray_5_Measurement_1,Rock,Sand,3.104281923,0.0866
Marginal_Ray_5_Measurement_1,Sand,Pelagic,0.931319812,1
Marginal_Ray_5_Measurement_2,Rock,Pelagic,2.477047157,0.0906
Marginal_Ray_5_Measurement_2,Rock,Sand,3.341841106,0.0942
Marginal_Ray_5_Measurement_2,Sand,Pelagic,0.741222302,1
Marginal_Ray_5_Measurement_3,Rock,Pelagic,2.533820132,0.0806
Marginal_Ray_5_Measurement_3,Rock,Sand,3.55996072,0.086
Marginal_Ray_5_Measurement_3,Sand,Pelagic,0.711755081,1
Marginal_Ray_5_Measurement_4,Rock,Pelagic,2.047342442,0.1806
Marginal_Ray_5_Measurement_4,Rock,Sand,3.481888533,0.1008
Marginal_Ray_5_Measurement_4,Sand,Pelagic,0.587997698,1