"Variable","Group1","Group2","Welch_t","df","P_value_two_sided"
"Radial_1_Length","Rock","Pelagic",2.51435018620537,8.80979851895428,0.0335960520609255
"Radial_1_Length","Rock","Sand",1.8841022289835,7.82694696891132,0.0971101784810342
"Radial_1_Length","Sand","Pelagic",1.69376851466734,16.6275744090397,0.108956629882082
"Radial_2_Length","Rock","Pelagic",1.56829119693738,9.72008821075846,0.148760242337187
"Radial_2_Length","Rock","Sand",1.02985677370674,9.37817482037675,0.328905199849965
"Radial_2_Length","Sand","Pelagic",1.00268436737996,22.0346167033331,0.326897935596067
"Radial_3_Length","Rock","Pelagic",0.812356870999687,9.01778387050538,0.437505649370814
"Radial_3_Length","Rock","Sand",0.047713369468502,8.95992451184681,0.962991275315913
"Radial_3_Length","Sand","Pelagic",1.54470544785885,22.4717280055507,0.136384805805333
"Radial_4_Length","Rock","Pelagic",0.809772570789829,9.33456898375583,0.43822557303908
"Radial_4_Length","Rock","Sand",-0.000660262760164876,8.96165434874148,0.999487650572819
"Radial_4_Length","Sand","Pelagic",1.58959339920322,21.873844704301,0.126276953638754
"Radial_1_Width","Rock","Pelagic",0.995974224672994,10.6062588364209,0.34144234750388
"Radial_1_Width","Rock","Sand",0.281575203654833,11.7497583011526,0.783166799340094
"Radial_1_Width","Sand","Pelagic",1.02760608028616,21.9056793177124,0.315349124387824
"Radial_2_Width","Rock","Pelagic",0.994712499666657,15.1392529871683,0.335509919397956
"Radial_2_Width","Rock","Sand",0.549016941820157,11.8948914813097,0.593150505151346
"Radial_2_Width","Sand","Pelagic",0.646809564587535,18.6648493027084,0.525630264208379
"Radial_3_Width","Rock","Pelagic",-0.269640474083293,11.3813793428494,0.792263129564343
"Radial_3_Width","Rock","Sand",-0.0333876847096811,10.1845110752998,0.974010732366404
"Radial_3_Width","Sand","Pelagic",-0.370614204139459,20.9393424595312,0.714647671767239
"Radial_4_Width","Rock","Pelagic",0.740760012979771,13.0290714808298,0.471978814100429
"Radial_4_Width","Rock","Sand",-0.217091938248032,11.4895174607129,0.831943726741106
"Radial_4_Width","Sand","Pelagic",1.29803708025685,20.8186460175671,0.208471977235676
"Marginal_Ray_3_Measurement_1","Rock","Pelagic",-0.609452876833594,15.416986912351,0.551101143789148
"Marginal_Ray_3_Measurement_1","Rock","Sand",-0.676301329001011,15.7894108339741,0.5086357015656
"Marginal_Ray_3_Measurement_1","Sand","Pelagic",0.0731985288665791,22.4364628312674,0.942296796962116
"Marginal_Ray_3_Measurement_2","Rock","Pelagic",-0.516309601191568,15.5440224671154,0.612904960563817
"Marginal_Ray_3_Measurement_2","Rock","Sand",-0.585973882395476,15.6847930000165,0.566230483247909
"Marginal_Ray_3_Measurement_2","Sand","Pelagic",0.072592219207149,22.2798382738748,0.942778371288946
"Marginal_Ray_3_Measurement_3","Rock","Pelagic",-0.498251077836204,15.6525556446811,0.625235127175446
"Marginal_Ray_3_Measurement_3","Rock","Sand",-0.669183094139045,15.2640083670823,0.513373808757811
"Marginal_Ray_3_Measurement_3","Sand","Pelagic",0.183998165154913,21.8922110903914,0.85570856079393
"Marginal_Ray_3_Measurement_4","Rock","Pelagic",-0.428085558476575,16.298761970886,0.674191943205269
"Marginal_Ray_3_Measurement_4","Rock","Sand",-0.694681503267654,15.5523148775445,0.497502680515915
"Marginal_Ray_3_Measurement_4","Sand","Pelagic",0.279251359030406,21.4464546651789,0.782727194714217
"Marginal_Ray_4_Measurement_1","Rock","Pelagic",-0.86447310249988,12.283948244609,0.403893608181277
"Marginal_Ray_4_Measurement_1","Rock","Sand",-1.48516896624493,11.7874282200039,0.163744795685886
"Marginal_Ray_4_Measurement_1","Sand","Pelagic",0.942113205603444,21.9824625755813,0.356373988011247
"Marginal_Ray_4_Measurement_2","Rock","Pelagic",-0.788325760626615,13.2115819501984,0.444421743754214
"Marginal_Ray_4_Measurement_2","Rock","Sand",-1.58341987742937,11.4236478864497,0.140600208138151
"Marginal_Ray_4_Measurement_2","Sand","Pelagic",1.11099724910015,20.1805697805619,0.279631613114069
"Marginal_Ray_4_Measurement_3","Rock","Pelagic",-0.779176825854403,13.4602190874174,0.449358496266615
"Marginal_Ray_4_Measurement_3","Rock","Sand",-1.65257071436722,11.5518824222875,0.125314676502251
"Marginal_Ray_4_Measurement_3","Sand","Pelagic",1.19747035151281,20.0709250116711,0.245074810590583
"Marginal_Ray_4_Measurement_4","Rock","Pelagic",-0.773674602314514,13.9570818636818,0.452029276960649
"Marginal_Ray_4_Measurement_4","Rock","Sand",-1.6938920201373,11.5842142316719,0.116974899028748
"Marginal_Ray_4_Measurement_4","Sand","Pelagic",1.20699056677343,19.4532677680169,0.241908190779026
"Marginal_Ray_5_Measurement_1","Rock","Pelagic",-0.874963157569036,12.3758118618739,0.398256771449076
"Marginal_Ray_5_Measurement_1","Rock","Sand",-1.57847238526685,11.3567621049887,0.141888040129527
"Marginal_Ray_5_Measurement_1","Sand","Pelagic",1.06156091343159,21.2407319251723,0.300356701492634
"Marginal_Ray_5_Measurement_2","Rock","Pelagic",-0.799434954939422,13.0211914452561,0.438378902829909
"Marginal_Ray_5_Measurement_2","Rock","Sand",-1.6754091315779,11.1206552849663,0.121712330551649
"Marginal_Ray_5_Measurement_2","Sand","Pelagic",1.25513482345842,19.8583889895868,0.223999797814199
"Marginal_Ray_5_Measurement_3","Rock","Pelagic",-0.819018531564407,12.9226794480909,0.427622307313721
"Marginal_Ray_5_Measurement_3","Rock","Sand",-1.81962026518747,10.9308003547455,0.0962850467999631
"Marginal_Ray_5_Measurement_3","Sand","Pelagic",1.45875564569388,19.5975334952019,0.160474661869307
"Marginal_Ray_5_Measurement_4","Rock","Pelagic",-0.773091116687502,13.8962923520691,0.452418922065232
"Marginal_Ray_5_Measurement_4","Rock","Sand",-1.91342298472191,10.9960980003533,0.0820725793684192
"Marginal_Ray_5_Measurement_4","Sand","Pelagic",1.52801704902345,18.3599353077493,0.14355343337224
