,,,Permutation test,,,Levene's test,,,,
Variable,Group1,Group2,Observed_Var_Ratio,P_value_two_sided,P_value_BH,Levene_F,df1,df2,P_value_two_sided,P_value_BH
Radial_1_Length,Rock,Pelagic,6.196976067,0.0472,0.0708,4.471591884,1,16,0.050509266,0.075763898
Radial_1_Length,Rock,Sand,9.786526918,0.0127,0.0381,8.45568557,1,20,0.008699857,0.026099572
Radial_1_Length,Sand,Pelagic,0.633215043,1,1,0.496183999,1,22,0.488571872,0.488571872
Radial_2_Length,Rock,Pelagic,3.753345197,0.0902,0.1569,3.058066324,1,17,0.098369246,0.147553869
Radial_2_Length,Rock,Sand,3.441725432,0.1046,0.1569,3.454875055,1,20,0.077845227,0.147553869
Radial_2_Length,Sand,Pelagic,1.090541727,0.9211,0.9211,2.50E-05,1,23,0.996050552,0.996050552
Radial_3_Length,Rock,Pelagic,5.081507684,0.0833,0.12495,4.754040002,1,17,0.043572231,0.069002325
Radial_3_Length,Rock,Sand,4.168730907,0.0707,0.12495,4.526593147,1,20,0.04600155,0.069002325
Radial_3_Length,Sand,Pelagic,1.218957951,0.8502,0.8502,0.153408917,1,23,0.698904131,0.698904131
Radial_4_Length,Rock,Pelagic,4.385391468,0.143,0.2169,2.617956648,1,17,0.124062999,0.186094499
Radial_4_Length,Rock,Sand,4.165093449,0.1446,0.2169,3.649611629,1,20,0.070526558,0.186094499
Radial_4_Length,Sand,Pelagic,1.052891495,0.9413,0.9413,0.065625128,1,23,0.800093846,0.800093846
Radial_1_Width,Rock,Pelagic,3.032601284,0.4248,0.6285,0.752443939,1,16,0.398526839,0.822591045
Radial_1_Width,Rock,Sand,1.711339848,0.5749,0.6285,0.372732937,1,20,0.54839403,0.822591045
Radial_1_Width,Sand,Pelagic,1.772062567,0.6285,0.6285,0.044716059,1,22,0.834473647,0.834473647
Radial_2_Width,Rock,Pelagic,1.022263416,0.9671,1,0.734695194,1,17,0.403287495,0.605249661
Radial_2_Width,Rock,Sand,1.658294468,0.6602,1,0.16000759,1,20,0.6933897,0.6933897
Radial_2_Width,Sand,Pelagic,0.616454698,1,1,0.724334834,1,23,0.403499774,0.605249661
Radial_3_Width,Rock,Pelagic,2.272516782,0.3285,0.49275,0.177093535,1,17,0.679154993,0.926150742
Radial_3_Width,Rock,Sand,2.572585031,0.2359,0.49275,0.277534456,1,20,0.604116417,0.926150742
Radial_3_Width,Sand,Pelagic,0.883359249,1,1,0.008781646,1,23,0.926150742,0.926150742
Radial_4_Width,Rock,Pelagic,1.570330093,0.5136,0.7704,0.359333195,1,17,0.556782349,0.835173523
Radial_4_Width,Rock,Sand,1.81452967,0.4193,0.7704,0.54240722,1,20,0.46998811,0.835173523
Radial_4_Width,Sand,Pelagic,0.865419904,1,1,0.00440967,1,23,0.947628975,0.947628975